title,release_year,rating,popularity,genres,poster_url
Ace Ventura: Pet Detective,1994,6.567,6.3084,"['Comedy', 'Mystery', 'Crime', 'Adventure']",https://image.tmdb.org/t/p/w500/pqiRuETmuSybfnVZ7qyeoXhQyN1.jpg
Natural Born Killers,1994,7.061,5.7678,"['Crime', 'Thriller', 'Drama']",https://image.tmdb.org/t/p/w500/fEKZwT91gxvkAoyPgpNXo8W5fu0.jpg
Dragon Ball Z: Bio-Broly,1994,5.7,6.1004,"['Animation', 'Action', 'Science Fiction']",https://image.tmdb.org/t/p/w500/A0VKJ6eRIubW6wH4eAwcpQfjoRD.jpg
The Specialist,1994,5.917,6.9032,"['Action', 'Thriller']",https://image.tmdb.org/t/p/w500/9CVAjtkSaFs9FyddGfThj11ZuQq.jpg
Mistress Samantha Diet Doctor,1994,0.0,5.0011,"['Documentary', 'Comedy', 'Romance']",https://image.tmdb.org/t/p/w500/gXnjCTGeHE7ETEB4YkZhoKrCKfy.jpg
Ed Wood,1994,7.488,6.046,"['Comedy', 'Drama', 'History']",https://image.tmdb.org/t/p/w500/2jjFN4BtTSz01J3ZD4iYjf26pWX.jpg
Only You,1994,6.766,4.7996,"['Romance', 'Comedy']",https://image.tmdb.org/t/p/w500/7mLLANXgUg3bibTiUitDlB0NZcU.jpg
Timecop,1994,6.013,5.6018,"['Thriller', 'Science Fiction', 'Action', 'Crime']",https://image.tmdb.org/t/p/w500/bgxP6ws8ErBiarnb4S93vv0lkf4.jpg
Clear and Present Danger,1994,6.652,5.8431,"['Action', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/6xTM8FPxrLRYwz6I3fqtwh7xybs.jpg
Mary Shelley's Frankenstein,1994,6.413,5.6303,"['Drama', 'Horror', 'Science Fiction', 'Romance']",https://image.tmdb.org/t/p/w500/bOwCAQsZlEKrwhPi1ejY6BS8jpL.jpg
Miracolo italiano,1994,4.1,4.7846,['Comedy'],https://image.tmdb.org/t/p/w500/zAZWbx1TZDonku6HO65W8EmHD26.jpg
Female Ninjas Magic Chronicles 4: Rebel Forces at the Threshold,1994,3.3,5.3271,['Action'],https://image.tmdb.org/t/p/w500/7TyWl7VX3dvKxPJUTsu4h9Yh8Az.jpg
Turkish Passion,1994,5.448,5.1336,['Drama'],https://image.tmdb.org/t/p/w500/fLMjCgzkS4GejHopJNpYpbOwNSw.jpg
The Next Karate Kid,1994,5.357,3.9819,"['Action', 'Drama', 'Family', 'Adventure']",https://image.tmdb.org/t/p/w500/wI3gCi9w1cuUJCiwhviAy46we9Q.jpg
Daughter of Darkness 2,1994,5.545,5.0143,"['Comedy', 'Crime', 'Thriller', 'Horror']",https://image.tmdb.org/t/p/w500/xXR6FJNfH77B3KfzMU9HgjXRSMB.jpg
