brand,battery,ram(GB),storage(GB),price(USD)
Samsung,3300,4,32,220.0
Realme,3500,8,64,150.0
Apple,3174,4,64,570.0
Apple,2658,4,64,380.0
Apple,2942,3,64,310.0
Samsung,3300,6,64,200.0
Xiaomi,4000,6,128,450.0
Xiaomi,3200,6,128,730.0
Lenovo,3000,3,32,150.0
Lenovo,4050,6,64,200.0
Lenovo,3500,6,64,130.0
Huawei,4200,8,256,460.0
Huawei,5000,8,128,180.0
Samsung,3300,6,64,310.0
Huawei,4000,6,64,260.0
Samsung,3800,8,64,430.0
Oppo,3600,6,64,1350.0
Huawei,4000,6,64,220.0
Oppo,3600,6,128,132.0
Honor,4000,4,32,170.0
Honor,3500,8,128,550.0
LG,3300,6,64,70.0
Google,3430,4,64,260.0
Google,2915,4,64,450.0
Huawei,4200,8,128,230.0
OnePlus,3700,8,128,430.0
Realme,3500,4,32,130.0
Huawei,5000,4,128,180.0
Lenovo,3350,6,64,150.0
Oppo,3600,4,128,230.0
Oppo,4230,4,32,290.0
Samsung,3300,1,16,120.0
Honor,3400,6,32,180.0
Huawei,4000,4,32,800.0
Samsung,3400,8,128,550.0
Huawei,3750,8,128,1200.0
Lenovo,3500,6,64,400.0
Huawei,3020,1,16,130.0
Xiaomi,3000,6,64,170.0
Lenovo,3350,6,128,200.0
OnePlus,3700,10,256,700.0
Lenovo,3300,6,64,300.0
Huawei,3400,3,32,580.0
Huawei,4000,4,32,200.0
Huawei,4000,3,32,400.0
Xiaomi,3000,1,8,100.0
LG,2500,2,16,80.0
Honor,3020,3,32,100.0
LG,3000,4,64,330.0
Samsung,3400,3,16,90.0
Realme,4230,3,32,90.0
Xiaomi,4000,6,32,170.0
Samsung,5000,4,32,380.0
LG,3500,3,64,180.0
LG,3500,3,32,140.0
LG,3000,3,32,400.0
Huawei,3020,3,32,200.0
Samsung,4380,12,512,260.0
Sony,3300,3,32,230.0
Samsung,4235,12,512,400.0
Samsung,4500,8,256,300.0
Huawei,4500,8,512,200.0
Xiaomi,3300,8,256,530.0
Xiaomi,3800,6,64,410.0
Samsung,3400,8,128,200.0
Xiaomi,3300,8,64,590.0
Xiaomi,3070,6,64,460.0
Samsung,3100,8,128,260.0
Samsung,4100,8,128,360.0
LG,4000,6,128,480.0
LG,3550,6,64,350.0
LG,3500,6,128,230.0
Sony,3330,6,64,500.0
Samsung,4000,6,64,110.0
Sony,3000,6,64,560.0
Sony,2870,4,64,280.0
Samsung,4000,4,32,100.0
Samsung,5000,6,32,240.0
Xiaomi,4000,6,64,260.0
Samsung,3400,4,32,300.0
Xiaomi,4000,6,128,400.0
Oppo,4020,6,64,600.0
Realme,4230,4,32,108.0
Honor,3500,8,128,600.0
Huawei,3400,6,64,130.0
Oppo,4000,6,64,460.0
Huawei,3020,3,32,120.0
Huawei,3340,6,128,200.0
Huawei,3020,2,32,200.0
Huawei,4000,4,32,100.0
Xiaomi,4000,4,16,150.0
Oppo,4230,4,32,270.0
Samsung,4000,3,32,400.0
Samsung,3100,4,64,200.0
Huawei,3650,8,64,130.0
Huawei,4200,8,128,270.0
Samsung,4500,8,128,270.0
Huawei,3340,8,64,120.0
Xiaomi,4000,4,32,120.0
Oppo,4000,3,32,330.0
Oppo,4230,4,64,210.0
Honor,3020,3,32,120.0
Oppo,4020,8,128,250.0
Lenovo,3300,4,64,220.0
Samsung,3500,6,64,260.0
Samsung,2600,1,8,290.0
Oppo,4065,8,256,320.0
Honor,3020,3,32,200.0
Honor,3400,6,64,210.0
Honor,3400,8,64,190.0
Oppo,3765,8,128,350.0
Oppo,4065,6,128,270.0
