movie_id,title,release_year,rating,popularity,genres,poster_url,genre_clean
2066,School for Scoundrels,1960,6.922,1.7306,['Comedy'],https://image.tmdb.org/t/p/w500/1nmlCWFYx9wObdG11NtuUFemVpo.jpg,['Comedy']
2067,Testament of Orpheus,1960,7.662,1.4155,['Fantasy'],https://image.tmdb.org/t/p/w500/21ccswsdwgoLVUDsaxp0bVUsE1l.jpg,['Fantasy']
2068,The Flesh and the Fiends,1960,6.6,1.8554,['Horror'],https://image.tmdb.org/t/p/w500/8fCGyjHUtf7gqZToP9kYM7AFcOg.jpg,['Horror']
2069,The Rise and Fall of Legs Diamond,1960,5.952,1.5697,"['Crime', 'History']",https://image.tmdb.org/t/p/w500/rtKdsKykX4Oz5o3nbtyAtWthkKB.jpg,"['Crime', 'History']"
2070,Virgin Sacrifice,1960,1.0,0.7464,"['Adventure', 'Action']",https://image.tmdb.org/t/p/w500/eSxVKrpR3R327ttgUvUqQ2zdizH.jpg,"['Adventure', 'Action']"
2071,Seven Thieves,1960,6.5,1.4581,"['Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/6yWo5PtqR2KhhZxp08lCRqGUKyY.jpg,"['Crime', 'Thriller']"
2072,The Sundowners,1960,6.7,1.3756,"['Drama', 'Adventure']",https://image.tmdb.org/t/p/w500/yGXxKdR3sttc0Gu927wMETZH3al.jpg,"['Drama', 'Adventure']"
2073,The Human Vapor,1960,6.6,1.5109,"['Science Fiction', 'Crime', 'Drama', 'Romance', 'Thriller', 'Horror']",https://image.tmdb.org/t/p/w500/5TIxcoLYguvljsEDVNvF02cPx5.jpg,"['Science Fiction', 'Crime', 'Drama', 'Romance', 'Thriller', 'Horror']"
2074,The Crowded Sky,1960,5.6,1.507,"['Action', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/kNNgoIvNpbAS4EN0CNPND7SGil1.jpg,"['Action', 'Drama', 'Romance']"
2075,The Gallant Hours,1960,6.7,1.538,"['Drama', 'War']",https://image.tmdb.org/t/p/w500/7YKWqCWnSfE3fJB2lLUAiQOu0ol.jpg,"['Drama', 'War']"
2076,Saturday Night and Sunday Morning,1960,7.0,1.5387,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/fHHKxB71EzVzny3ZakxZRGe5Evw.jpg,"['Drama', 'Romance']"
2077,The Fabulous Fifties,1960,6.0,1.4166,"['Music', 'TV Movie']",https://image.tmdb.org/t/p/w500/ydx8U72xEzkpLaWmBCgxrswnyo8.jpg,"['Music', 'TV Movie']"
2078,Circus of Horrors,1960,5.9,1.7752,"['Horror', 'Crime']",https://image.tmdb.org/t/p/w500/9sfshfTBXOFOAutfceewC6Rvgxq.jpg,"['Horror', 'Crime']"
2079,The Fugitive Kind,1960,6.824,1.4278,"['Romance', 'Drama']",https://image.tmdb.org/t/p/w500/ta2ircBtQs8EZXe6QznCI5J6N3i.jpg,"['Romance', 'Drama']"
2080,The Slowest Gun in the West,1960,2.0,1.475,"['Western', 'Comedy', 'TV Movie']",https://image.tmdb.org/t/p/w500/aCSPpxgmSU3VXAN0tQ6JPhO0reP.jpg,"['Western', 'Comedy', 'TV Movie']"
2081,Where the Boys Are,1960,6.1,1.5735,"['Comedy', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/if6vjNZZX2JEclfd4rcus9kOHwT.jpg,"['Comedy', 'Drama', 'Romance']"
2082,Let No Man Write My Epitaph,1960,6.1,1.3947,"['Drama', 'Crime']",https://image.tmdb.org/t/p/w500/w3gMLgTGd00Og4poHcn6aNJvsj.jpg,"['Drama', 'Crime']"
2083,All the Fine Young Cannibals,1960,5.3,1.3924,"['Romance', 'Drama', 'Music']",https://image.tmdb.org/t/p/w500/8PDKXWPSULzNQtSK1xDjmyPhfjA.jpg,"['Romance', 'Drama', 'Music']"
2084,G.I. Blues,1960,6.5,1.3568,"['Comedy', 'Music']",https://image.tmdb.org/t/p/w500/2V6Llh9jEJyRp13hwhVyNEnVbpX.jpg,"['Comedy', 'Music']"
2085,Two Way Stretch,1960,6.643,1.5017,"['Comedy', 'Crime']",https://image.tmdb.org/t/p/w500/n2SYAdyVl4ztoacZS10qH9LralF.jpg,"['Comedy', 'Crime']"
