title,release_year,rating,popularity,genres,poster_url
Borderline,1950,5.5,1.5066,"['Crime', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/6f7Lgj6qfGEehEWZmb3YXr8rkqi.jpg
The Fuller Brush Girl,1950,6.0,1.6992,"['Comedy', 'Mystery']",https://image.tmdb.org/t/p/w500/lPPTTcFbjKgXPwos0UmVYruxgUQ.jpg
Dark City,1950,6.5,1.9724,"['Drama', 'Thriller', 'Crime']",https://image.tmdb.org/t/p/w500/7mkj8Vv5lpndZnjdHNBdIV4fhoh.jpg
The Furies,1950,7.1,2.0525,"['Western', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/kVlgoW4LWj8Uxr5fXuFi6qhpzP0.jpg
Stromboli,1950,7.1,1.6812,['Drama'],https://image.tmdb.org/t/p/w500/tsyyzGSspKsawHocchfokskwbeM.jpg
Pretty Baby,1950,6.0,1.6378,['Comedy'],https://image.tmdb.org/t/p/w500/4sl2jutNCYkKmShhiYqIzr2Q5gG.jpg
Perfect Strangers,1950,6.2,1.6291,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/w3ZYbSDs7BKKB5drJKuIgjpnjwf.jpg
Rock Island Trail,1950,6.0,1.5146,['Western'],https://image.tmdb.org/t/p/w500/cfvIkrZqBzU8sAoKD0tK3w1axbW.jpg
A Lady Without Passport,1950,5.2,1.6305,"['Thriller', 'Crime']",https://image.tmdb.org/t/p/w500/wJfzpAglQhQLtUICju4A2cRmK77.jpg
Whirlpool,1950,6.476,1.6855,"['Thriller', 'Crime', 'Drama']",https://image.tmdb.org/t/p/w500/swwFPsZxjYMyQPkcqDrQs6yQ7Aq.jpg
Everybody's Girl,1950,4.143,1.8783,"['Comedy', 'Music']",https://image.tmdb.org/t/p/w500/OfvPVJieqmcO823gnazxz6WQJ8.jpg
Desperadoes of the West,1950,3.8,0.982,['Western'],https://image.tmdb.org/t/p/w500/cdZKBonqRTBjGAaFUYPD0QFc8vT.jpg
King Solomon's Mines,1950,6.5,1.6597,"['Adventure', 'Action', 'Romance']",https://image.tmdb.org/t/p/w500/s5T4Da7d3f255YRyaWfhMWfoBKK.jpg
The Jackie Robinson Story,1950,6.4,4.2951,"['Drama', 'Family']",https://image.tmdb.org/t/p/w500/cx13WcbLX3dU7Lo6ZcVwygQpdtO.jpg
Kim,1950,6.2,1.6763,"['Adventure', 'Drama', 'Family']",https://image.tmdb.org/t/p/w500/koPgzZ60Kd2JI6uxJQ1pD06cIf6.jpg
Outrage,1950,6.5,1.608,"['Drama', 'Crime']",https://image.tmdb.org/t/p/w500/2zGupaPiJBU3iR9WgY1kMpYalY2.jpg
The Flame and the Arrow,1950,6.3,1.9189,"['Adventure', 'History']",https://image.tmdb.org/t/p/w500/30edZxvbt7W8p8y5OsMX9XSWSwK.jpg
No Man of Her Own,1950,6.9,1.736,"['Drama', 'Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/pYJukaE6s3AwHXJ1pQl8PEVlozx.jpg
Bunco Squad,1950,5.9,1.4314,['Crime'],https://image.tmdb.org/t/p/w500/wRnlnoX6xLSB64a4llgZo6HCjLO.jpg
Riding High,1950,5.8,1.4096,['Comedy'],https://image.tmdb.org/t/p/w500/lG7C5MqsVklrvqX0YLV4cwjCany.jpg
Never a Dull Moment,1950,5.4,1.3528,"['Romance', 'Comedy']",https://image.tmdb.org/t/p/w500/43r7QKEsX2Qg0MJZykCoFMBykhq.jpg
Appointment with Danger,1950,5.6,1.3814,"['Crime', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/hZOvwsG2KbwUROmiidyVbijdLJu.jpg
Tyrant of the Sea,1950,0.0,1.2738,"['History', 'Adventure', 'War']",https://image.tmdb.org/t/p/w500/p7TSDVPnHEwyH5iKaULVgGDC7hg.jpg
When Willie Comes Marching Home,1950,6.8,1.3284,"['Comedy', 'War']",https://image.tmdb.org/t/p/w500/6AmE1YWygXiNvWbaQMrCCOEOzws.jpg
The Big Lift,1950,6.708,1.5523,"['War', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/uWF6c1B3QIakDNoYdpVrw8bSf2k.jpg
The Secret Fury,1950,5.4,1.3542,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/oumo0sn8V32kmrOKJQ7BpuggfKt.jpg
Between Midnight and Dawn,1950,5.8,1.5143,['Crime'],https://image.tmdb.org/t/p/w500/yjFByhrqLY8jGfiVe0pq84ebRnT.jpg
Where Danger Lives,1950,6.422,1.4527,['Thriller'],https://image.tmdb.org/t/p/w500/yIWDATzqcIPGsOdKRGlOAbPFq3L.jpg
The Flying Missile,1950,4.8,1.4899,['Drama'],https://image.tmdb.org/t/p/w500/pIjtctAevsQzyuD5GX59CRz8Jam.jpg
In a Lonely Place,1950,7.596,1.5985,"['Drama', 'Romance', 'Mystery']",https://image.tmdb.org/t/p/w500/vdlCUR7hu7BI8JRl46n66PiG17k.jpg
Francis,1950,5.5,1.4396,"['Comedy', 'Family', 'Fantasy', 'War']",https://image.tmdb.org/t/p/w500/bKjJYQzIVrMKjehGq8xKrEWNebq.jpg
